(Intercept),level,sqrtbm,trmtUHURU,level:trmtUHURU,df,AICc,?AICc
+,+,+,+,+,16,5033.362881,0
+,NA,+,+,NA,8,5057.871734,24.5088532
+,+,+,+,NA,10,5058.109299,24.7464179
+,NA,+,NA,NA,5,5058.30171,24.93882866
+,+,+,NA,NA,7,5058.674691,25.31180953
+,+,NA,+,+,15,5551.49063,518.1277484
+,NA,NA,+,NA,7,5588.294454,554.9315726
+,+,NA,+,NA,9,5589.443294,556.0804128
+,NA,NA,NA,NA,4,5619.533208,586.1703263
+,+,NA,NA,NA,6,5621.584763,588.2218816
