(Intercept),level,sqrtbm,trmtUHURU,level:trmtUHURU,df,AICc,?AICc
+,NA,+,+,NA,8,25990.13364,0
+,+,+,+,NA,10,25992.12896,1.995324332
+,NA,+,NA,NA,5,25993.12035,2.986709275
+,+,+,NA,NA,7,25995.38468,5.251048013
+,NA,NA,+,NA,7,25996.45799,6.324353747
+,NA,NA,NA,NA,4,25996.92426,6.790626484
+,+,+,+,+,16,25998.74251,8.608869469
+,+,NA,+,NA,9,25998.74913,8.61549393
+,+,NA,NA,NA,6,25999.36028,9.226645095
+,+,NA,+,+,15,26004.93846,14.80482302
