(Intercept),level,sqrtbm,trmtUHURU,level:trmtUHURU,df,AICc,?AICc
+,NA,+,+,NA,7,2370.603024,0
+,+,+,+,NA,9,2371.00847,0.40544557
+,+,+,+,+,15,2377.412228,6.809203128
+,NA,+,NA,NA,4,2379.357584,8.754559405
+,+,+,NA,NA,6,2379.614468,9.011443077
+,+,NA,+,NA,8,2382.769326,12.16630194
+,NA,NA,+,NA,6,2383.621793,13.01876834
+,+,NA,+,+,14,2389.98269,19.37966541
+,+,NA,NA,NA,5,2392.071911,21.46888669
+,NA,NA,NA,NA,3,2392.77479,22.17176506
