"","plantID","level","block","trmtUHURU","year","BA","height","woodystems","fruits","binfruits","fruitsnext6mo","binfruitsnext6mo","binsurnext6mo","BM","BMnext6mo","sclass1","sclass2","season","timepoint"
"52",52,"N",1,"LMH","11",NA,30.7,2,0,0,0,0,1,NA,9.37862678284923,"1","2","W","0"
"53",53,"N",1,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"54",54,"N",1,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18126234808232,"1","1","W","0"
"55",55,"N",1,"MEGA","11",23.75829444,156.4,1,0,0,NA,NA,0,15.5545545792565,NA,"2","1","W","0"
"56",56,"N",1,"MEGA","11",11.94590607,110.1,2,0,0,NA,NA,0,10.997058838269,NA,"2","1","W","0"
"57",57,"N",1,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"1","1","W","0"
"58",58,"N",1,"MEGA","11",86.94357669,NA,7,0,0,NA,NA,0,NA,NA,"1","1","W","0"
"59",59,"N",1,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"1","1","W","0"
"60",60,"N",1,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"61",61,"N",1,"MEGA","11",4.523893421,11.2,1,0,0,0,0,1,3.70785032102714,13.4390810921774,"1","2","W","0"
"62",62,"N",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"63",63,"N",1,"MESO","11",113.0423577,269.8,3,16,1,NA,NA,0,31.4103336219181,NA,"3","1","W","0"
"64",64,"N",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"65",65,"N",1,"MESO","11",172.0336137,296.4,1,272,1,NA,NA,0,37.2898290242147,NA,"3","1","W","0"
"66",66,"N",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"67",67,"N",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"68",68,"N",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"69",69,"N",1,"MESO","11",147.3485494,173.7,6,48,1,NA,NA,0,29.6247126516555,NA,"3","1","W","0"
"70",79,"N",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"71",80,"N",2,"CONT","11",13.8544236,41.6,3,0,0,NA,NA,0,8.34930456868494,7.82330857269635,"1","1","W","0"
"72",81,"N",2,"CONT","11",3.463605901,36.5,1,0,0,0,0,1,5.03141952334176,16.313794114547,"1","2","W","0"
"73",82,"N",2,"CONT","11",NA,NA,NA,NA,NA,0,0,NA,NA,6.82963933248879,"1","1","W","0"
"74",83,"N",2,"CONT","11",8.042477193,29,0,0,0,0,0,1,6.17281310056253,7.3876160780258,"1","1","W","0"
"75",84,"N",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"76",85,"N",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"77",86,"N",2,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"78",87,"N",2,"LMH","11",4.154756284,35.6,1,0,0,0,0,1,5.30213047691983,14.1692697983925,"1","2","W","0"
"79",88,"N",2,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"80",89,"N",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"81",90,"N",2,"MEGA","11",2.010619298,16.7,1,0,0,NA,NA,1,3.23198050084547,NA,"1","1","W","0"
"82",91,"N",2,"MEGA","11",10.75210086,27.8,1,0,0,1,1,1,6.70587467279198,17.7508704508242,"1","3","W","0"
"83",92,"N",2,"MESO","11",0.785398163,9.4,NA,NA,NA,NA,NA,NA,1.94918674268859,NA,"1","1","W","0"
"84",93,"N",2,"MESO","11",14.52201204,56.4,1,0,0,0,0,1,9.388661420812,21.7771970401897,"2","3","W","0"
